卡尔,560.6万
言曦-【效率带粉】,66.2万
天众丶零绪,57.6万
纵横-老白,57.2万
【Miu】小肥婷,41.5万
渝华-可颂,26.1万
零度-浅小梦,13.9万
多米工作室24小时带粉,65.7万
盛世-檬小暖,57.2万
AU-一叶知秋,57.0万
星动-柒柒,40.7万
DD-小秋,25.9万
敬礼我的党,13.8万
仙樂呀【女野王】,65.2万
灵犀-小雪Baby,56.6万
悦风丶白老师,56.5万
正恒丶晴儿【琳妹】,40.7万
仙女-佐佐【佐佑】,25.3万
新华社,13.8万
国亮-专打表现分,65.0万
天众丶桃子,56.1万
零度-陌菇凉,56.0万
正恒、西西吖,40.7万
DD-七七宝,24.4万
硕的好,13.7万
久帝-小小,64.9万
烟雨丶岚灵儿,55.9万
小小贾,55.9万
白白【麻油了】,40.6万
舞动天籁,24.3万
赢城-小六六,13.2万
海思-董某人,64.8万
月下小清欢,55.6万
Dae-帽子大小姐,55.2万
【澳音】紫阁-Girl女团,40.4万
马叉虫开奔驰,24.1万
兔兔学妹11,12.8万
Dae-你的宝贝,93.8万
Vip-SASA,89.6万
赢城、小乔是乔乔,71.5万
乐享、木木子,68.5万
花城工作室3,64.5万
木头陪打6,63.4万
久娱-瞌睡兔,63.0万
Dae点唱-乐上云端,62.7万
青一【婉儿绝活】,62.3万
宇轩up,62.1万
乔治又睡不着,61.9万
SK-宁仔【宁镜】,61.6万
KPL职业联赛,61.5万
玩味-最强音域-刀妹冠,60.9万
DK唱吧-黑胶唱片,60.4万
一只小奶莎【乐享】,59.4万
亿凡-月落,59.4万
如梦-24h专业带粉,58.7万
蓝新-晨白YYDS,58.3万
繁星-怦然心动,56.2万
LING-陌路,58.2万
众游工作室-24带粉,57.6万
玩味-期遇电台,56.1万
子健【九拜记忆】莫家军,56.0万
在在工作室24小时带粉,55.2万
卓越v1,54.9万
红厂-偏偏是你,54.9万
浪徒工作室24小时带粉,54.6万
猛韦【战神】,54.6万
海思-少宇【亲哥】,54.6万
明柒柒,54.4万
曙望-汉堡,54.3万
闪火-24h效率上分,53.9万
海思猛男团丶凤白,53.8万
LING-告白气球-徐哥冠,51.8万
若影-MG,53.6万
DK-骚皮皮,53.6万
jz丶依依,53.2万
亿凡-九尾狐【王师傅】,53.0万
德莱兄弟安迪志成,53.0万
小龙女-品质陪打,52.7万
天众丶小刚,52.7万
Csc-赫本男友,51.9万
与鹿电竞-秋雨,51.9万
嘎嘣翠儿,51.8万
楚恒-萨摩,51.6万
小字本带粉主播团,51.5万
善意【效率带粉】,51.5万
Yaq-花花世界,48.9万
美阳【校傲江湖】,50.7万
锦鲤-一纸情书,50.6万
沐风Up,50.4万
老樊国服带粉车队,50.3万
尚娱丶小瑞宝,50.2万
天和、苏扶佳,50.0万
头号玩家大白,50.0万
kamikamiO,49.7万
皮皮限,49.4万
Yaq点唱-纵享音悦,49.2万
星河-阿汤哥,49.1万
MAX-CSGO叶秋,49.1万
As-明日之星,48.9万
西北战神【24h带粉】,48.7万
狂鸟丶村长-90427,48.7万
男神白,48.3万
富贵儿【企鹅互娱】,48.3万
傲辰-骚坤,48.2万
qs-声优女神,48.1万
烟雨丶陈年,48.1万
虎牙冯宝一哥,48.0万
DP-浪浪效率带粉,47.9万
诺米-茄子,47.9万
云天N,47.9万
星耀丶尐乄乖,47.9万
涂山恩可可o,47.8万
沪娱-王者降临,47.6万
曜百万24h带粉,47.5万
蓝云-夏花依旧,47.5万
BTM丶七童鞋QaQ,47.3万
球节奏,47.2万
SZ-好好先生,47.1万
巅峰-零梦,47.0万
久爱-酷萱,47.0万
狂鸟丶权威-90327,46.8万
不可逾月,46.8万
巅峰-奈何,46.8万
问道-西门庆【招主播】,46.8万
AzZ丶冰封,46.6万
乐琪-菠萝甜心,46.6万
MAX-九月,46.4万
尚娱-阿楸,46.4万
萧晨,46.3万
甜咛,46.3万
SRG丶余温,46.2万
焦心电竞俱乐部,46.2万
巨鲨-阿康77,46.0万
巅峰-阿乐、,46.0万
乐悠-人间值得,46.0万
诺米-晨琳,45.9万
DK-百事可樂,43.2万
卓越v2【效率上分】,45.1万
DP-烟雨【效率带粉】,45.1万
正恒YZ-阿离,44.9万
仙女-爱乐之声-泡芙冠,44.8万
ZY-阿龙,44.8万
星镜-北暖,44.7万
红厂-天天向上,44.7万
DJ-等你回家-亮哥冠,44.5万
七彩丷90058,44.4万
蜜蜂-行走cd,44.3万
AmazingJ,44.2万
LK-猫七,44.2万
虎牙丶胡鑫,44.1万
Hz-心宝哥,44.1万
【久帝】、苏苏,44.0万
仙女-你最珍貴,43.8万
大吉【大吉大利】,43.6万
巅峰-安慕夕,43.6万
不是谁的静儿呀,43.5万
Yaq-八零九零,43.5万
